step,epoch,loss,learning_rate,grad_norm,elapsed_s
1,0.0357,1.2531,0.0002,1.5202158689498901,76.4
2,0.0714,1.1524,0.0002,1.172922968864441,189.9
3,0.1071,1.3955,0.0002,1.1167042255401611,276.8
4,0.1429,0.9869,0.0002,0.865358829498291,365.2
5,0.1786,1.2518,0.0002,1.1688377857208252,443.5
6,0.2143,1.2106,0.0002,0.9186888337135315,524.5
7,0.25,1.0902,0.0002,0.9620967507362366,602.3
8,0.2857,1.0164,0.0002,0.8295779824256897,699.2
9,0.3214,0.9175,0.0002,0.927686333656311,781.3
10,0.3571,0.9555,0.0002,0.9936898350715637,854.5
